Frame,Time (ms),,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity ,,490/10(466.1) Mean Intensity 
0,0,,47.3667,,50.9048,,45.5556,,48.3929,,31.9821,,43.0476,,36.6667,,33.7857,,41.4722,,57.2143,,58.2857,,54.125,,68.5833,,66.8333,,72.4792,,64,,60.0794,,56.5952,,50.8857,,48.9286,,59.8095,,82.0238,,82.7959,,65.1964,,50,,45.449,,43.04,,49.8333
1,10291,,48.5,,49.7778,,46.4074,,47.9643,,31.9821,,45.2381,,36.1667,,34.6905,,42.8333,,58.881,,60.4286,,53.625,,68.3056,,67.9048,,73.9583,,64.1905,,59.4286,,56.3333,,51.8,,48.4048,,59.5476,,81.8095,,82.4286,,65.6429,,51.2381,,45.0204,,41.56,,49.1667
2,20291,,48.0333,,50.5079,,46.8889,,47.8571,,32.1429,,45.6667,,36.0667,,33.6429,,42.1111,,58.1905,,58.8571,,56.0833,,69.6389,,67.119,,73.3542,,64.5476,,59.9841,,58.619,,52.8571,,49.8095,,60.0476,,82.6905,,83.2245,,65.3036,,51.1429,,45.2857,,43,,50.7333
3,32359,,47.4333,,51.9048,,46.7037,,49.1071,,32.3214,,44.881,,35.9,,35.1905,,42,,57.6429,,61.381,,54.0417,,70.3056,,66.1429,,73.9792,,64.9048,,59.3016,,58.2619,,51.8571,,49.8571,,58.9524,,83.0238,,83.6327,,66.5536,,50.8571,,45.6327,,41.8,,51.0333
4,42404,,47.7667,,50.9524,,46.5185,,47.75,,31.125,,43.8333,,36.3333,,34.1429,,43.6111,,59.0952,,58.7619,,55.0417,,68.6389,,68,,74.0833,,64.1667,,59.7302,,58.5476,,50.8,,50.4762,,59.381,,81.0476,,82.7959,,66.375,,51.5714,,45.2857,,42.48,,50.0333
5,52405,,48.8,,50.6984,,45.5926,,48.8929,,32.0893,,44.9524,,36.5333,,35.119,,42.4167,,58.3333,,59.8571,,55.125,,68.8889,,68.9286,,73.125,,65.5,,59.2063,,58.2857,,51.7429,,50.2857,,59.3095,,83.4048,,82.6735,,65.3393,,50.5238,,45.1429,,43.16,,50.8
6,62492,,48.3333,,50.6984,,45.4074,,48.8214,,31.6071,,44.6429,,35.7667,,33.7381,,42.8889,,58.8333,,60.7619,,54.125,,69.4722,,67.1429,,73.5,,64.8333,,59.2857,,59.2619,,51.8857,,50.0238,,59.8571,,81.6905,,83.3878,,65.6429,,51.8333,,44.7755,,43.36,,52.2
7,72399,,48.0333,,52,,47.1481,,49.9643,,31.1786,,44.5238,,34.9,,34.5476,,42.8889,,60.619,,60.9524,,55.0417,,69.8056,,69.2143,,73.9167,,66.1667,,60.0952,,59.5952,,54.0286,,50.4762,,60.2619,,81.8333,,83.1837,,66.1429,,52.3571,,46.898,,44.6,,49.9
8,82398,,47.3333,,51.9683,,45.4815,,47.5357,,31.9107,,45.4762,,35.2,,33.7857,,42.9167,,59.9524,,59.1429,,53.4583,,69.4167,,67.3095,,73.5833,,65,,60.2698,,60.8571,,52.3143,,49.6905,,59.0238,,80.5,,81.2245,,66.5714,,51.6429,,45.8163,,42.88,,49.9333
9,92398,,46.9,,50.8095,,45.1111,,48.9286,,32.6786,,44.5238,,35.9667,,34.9524,,42.8056,,58.6667,,59.619,,54.1667,,68.5833,,67.2381,,72.6875,,62.9762,,59.3492,,60.6905,,50.8857,,48.9524,,60.0952,,80.5714,,83.4898,,65.5179,,51.4048,,45.4286,,43.88,,50.5667
10,102398,,48,,51.3016,,45.8889,,49.75,,31.8393,,45.7857,,35.8333,,35.1429,,42.9167,,61.119,,58.1905,,57.4583,,68.1944,,67.8333,,73.7292,,64.7143,,60.1111,,59.5952,,53,,51.0952,,59.9762,,82.6667,,82.898,,64.6964,,51.9048,,46.3265,,43.12,,51.8667
11,112398,,47,,50.0952,,46.4074,,46.6786,,31.9107,,45.2619,,35.1,,33.4286,,42.0833,,59.1905,,56.6667,,57.1667,,67.9167,,68.4762,,72.2917,,66.119,,59,,60.2857,,52.4571,,50.0952,,60.119,,80.5,,84.1837,,66.5893,,50,,44.551,,42.16,,50.6667
12,122397,,47.9,,51.6508,,46.963,,48.4643,,31.6964,,45.7857,,36.3,,33.5,,42.2222,,58.7857,,56.6667,,55.7917,,68.25,,68.2857,,73.3125,,65.2381,,59.254,,61.0952,,52.6571,,50.5238,,60.6429,,81.9762,,82.6735,,65.0179,,51.5714,,45.0204,,43.68,,49.6
13,146180,,48.2333,,51.8095,,47.2963,,47.75,,31.8214,,43.9762,,35.6333,,34.7857,,42.8333,,59.881,,56.5238,,56.2917,,67.6667,,68.2143,,72.9583,,64,,58.6984,,58.8095,,51.8286,,50.0952,,60.8333,,80.2143,,83.449,,66.75,,50.881,,45.4082,,42.4,,51.0333
14,156177,,46.9,,50.8413,,45.4815,,48.5,,31.1071,,44.3095,,35.7333,,33.7381,,42.2778,,59.1429,,56.9048,,55.7917,,68.3056,,67.6429,,73.0833,,64.7381,,59.4127,,59.7143,,53.2286,,50.2143,,59.7143,,79.5714,,83.2245,,66.0714,,50.5,,45.9592,,41.84,,50.7333
15,166176,,47.3,,51.5079,,45.4074,,48.4286,,31.25,,44.5714,,36.2333,,34.3571,,42.6667,,59.9286,,55.6667,,56.9583,,69.0833,,66.5238,,73.0833,,64.0952,,59.381,,58.5714,,53.3429,,50.1905,,59.8571,,79.0476,,83.4898,,65.625,,50.7857,,44.1837,,44.72,,49.4667
16,176176,,47.2,,50.5238,,47.6667,,48.8214,,31.9464,,44.8571,,35.5333,,33.8095,,41.9167,,59.9524,,55.619,,56.8333,,69.5278,,69.1429,,72.9167,,64.381,,59.6508,,56.8571,,53.6571,,52.0952,,61.8095,,79.7143,,82.6122,,65.875,,50.4048,,46.6531,,43.4,,49.3333
17,197789,,47.6667,,50.746,,47.1111,,48.8929,,31.7321,,44.881,,36.0667,,33.6429,,41.9167,,59.3571,,57.0476,,55.2917,,69.1667,,66.119,,72.5625,,62.8571,,60,,57.9762,,52.7143,,50.4048,,61.6905,,79.3571,,83.6735,,66.7143,,52.0476,,47.102,,42.68,,50.1333
18,207784,,48.6667,,50.8254,,45.2963,,48.9286,,31.8571,,44.2381,,34.8333,,35.1667,,42.9444,,61.5476,,57.0476,,56.25,,70.3611,,67.619,,72.7292,,64.8571,,58.8413,,58.0952,,54.9143,,51.8095,,60.7381,,79.0952,,84.4286,,66.1786,,51.6905,,47.1429,,43.32,,48.9667
19,217784,,47.2333,,51.4762,,45.3704,,49.8571,,32.0714,,44.1667,,35.3667,,34.5714,,41.5,,59.7619,,58.9524,,55,,70.5833,,68.381,,72.5625,,64.0714,,60.0635,,59,,54.8571,,50.9762,,60.3095,,79.381,,85.0816,,65.3929,,50.5714,,45.3673,,43.72,,50.2333
20,227783,,48.1667,,50.9365,,46.2593,,47.1786,,32.8214,,44.9524,,35.7,,34.9524,,42.8056,,61.8095,,58.0952,,54.7917,,69.0278,,68.3095,,73.0625,,64.3571,,59.4762,,58.5952,,54.5143,,52.2619,,59.4762,,79.119,,84.1837,,67.125,,52.1429,,46.102,,43.56,,50.6333
21,237784,,48.1667,,51.7143,,45.1852,,47.2857,,31.4643,,44.6429,,35,,33.7857,,43.3056,,60.3333,,56.7143,,55.75,,68.8889,,68.1905,,72.4375,,64.381,,58.6032,,57.1667,,53.8286,,51.9524,,60.7619,,79.9524,,84.9184,,66.0179,,51.119,,46.5714,,42.8,,49.9
22,248680,,47.2667,,52.0317,,46.1852,,49.4286,,32.1964,,44.4762,,35.3,,34.5952,,42.0278,,60.119,,58.619,,55.5833,,68.6667,,67.4048,,71.2083,,64.119,,59.5238,,56.5238,,54.8571,,51.7381,,59.3333,,79.0714,,84.898,,65.875,,50.9524,,44.7143,,42.28,,49.5667
23,295311,,51.8333,,53.1905,,43.8148,,44.7143,,35.2321,,44.5238,,35.6667,,33.6667,,41.5278,,45.0238,,45.5714,,44.9583,,59.6944,,60.1429,,59.3542,,54.0476,,47.127,,41.6429,,48.4571,,55.8095,,49.1905,,62.4524,,67.4694,,57.3036,,49.881,,45.9388,,46.76,,47.7333
24,305297,,53.2667,,53.5238,,46.4815,,45.6071,,35.5179,,45.4286,,35.0333,,34.5476,,41.8611,,45.3333,,46.9048,,44.25,,60.9444,,60.6905,,60.4792,,55.0714,,46.3175,,43.0952,,50.0286,,54.619,,51.119,,63.7381,,68.102,,59.5893,,49.1905,,47.4286,,45.8,,49.4333
25,315296,,51.2,,52.6825,,44.3704,,46.0714,,35.6071,,43.1905,,35.2333,,33.6905,,42.8611,,45.5238,,45.381,,44.6667,,59.7778,,59.6429,,60.875,,54.7619,,47.9048,,42.1429,,51.2,,54.9524,,51.9762,,62.5952,,66.7755,,59.8929,,49.1429,,47.1224,,46.4,,50.6
26,325295,,52.5667,,53.5714,,44.8148,,44.75,,35.5536,,44.6429,,35.4,,32.881,,41.5833,,43.9286,,46.381,,43.625,,61.8889,,59.9048,,61.0625,,53.9524,,46.5238,,41.1905,,48.3143,,55.5238,,49.5952,,63.3095,,65.5918,,59.4643,,50.0714,,47.3673,,44.2,,49.7
27,335295,,50.9333,,53.254,,43.963,,43.8929,,35.4107,,43.9286,,35.0667,,33.4762,,42.1389,,45.8095,,45.5238,,43.5833,,60.0833,,58.881,,59.1875,,54.7381,,46.1905,,41.0238,,49.8857,,56.0714,,50.619,,62.2857,,67.2857,,59.875,,48.881,,47.2245,,46.36,,49.7667
28,345294,,51.8333,,54.254,,45.4074,,44.6786,,35.3929,,44.4524,,34.9333,,32.5952,,42.9722,,44.9048,,45.5714,,43.8333,,59.8889,,60.6667,,60.3542,,52.5952,,46.0317,,41.1905,,47.4,,55.5952,,51.5952,,61.3333,,69.2653,,59.0357,,48.9286,,47.4898,,45.64,,49.3667
29,355294,,50.3,,52.9206,,43.5926,,44.3214,,34.8036,,44.5952,,35.8667,,33.3095,,42.6111,,44.2619,,45.5238,,43.5,,61.1111,,59.0238,,59.1042,,54.4524,,46.7143,,41,,48.6,,54.9048,,50.881,,62.5,,67.0408,,57.9107,,48.9048,,46.0408,,44.12,,49.1333
30,365293,,49.3667,,52.8571,,45.7778,,44.7857,,35.4286,,45.0238,,33.9,,33.1667,,41.8889,,43.6667,,46.2857,,45.2917,,60.9722,,59.1905,,60.0625,,55.119,,47.3175,,39.9762,,48.2286,,54.9286,,52,,63.1429,,67.0816,,57.9107,,49.5952,,46.6327,,44.52,,49.4667
31,375293,,52.1667,,53.5238,,45.3704,,43.8214,,35.8214,,44.881,,34.2,,34.2381,,42.0556,,43.5952,,47.2381,,44.2917,,62.1389,,61.1429,,59.9375,,54.119,,47,,41.0476,,49.2857,,56.4524,,49.7857,,63.0238,,67.5102,,58,,50.8333,,47.7959,,45.16,,48.8667
32,386679,,51.6667,,53.6667,,44.8519,,46.2143,,36.1071,,44.0952,,36.4333,,32.5476,,41.6389,,44.6429,,47.2857,,45.5,,60.0556,,59.8333,,59.4583,,54.2857,,46.873,,39.9286,,49.0286,,54.6429,,49.6667,,61.2619,,67.102,,59.1964,,48.5,,48.898,,44.88,,47.0667
33,397175,,51.7667,,53.6667,,46.9259,,44.8929,,35.6071,,46.8571,,34.4333,,33.8095,,43.5556,,44.9048,,46.4762,,46.0417,,60.4444,,61.8095,,59.2083,,54.4524,,47.5238,,40.9048,,49.9143,,54.4048,,51.1429,,62.7857,,69.4286,,59.9643,,49.3095,,47.5306,,45.92,,49.2
34,411678,,54.6,,53.7778,,44.5185,,44.8214,,36,,43.7857,,36.3,,32.8333,,43.3889,,44.119,,46.5714,,43.375,,60.2778,,60.9286,,60.3125,,53.8095,,47.4762,,41,,51.1143,,56.119,,50.0238,,62.5238,,67.898,,58.5536,,49.6667,,47.5102,,46.32,,50.7333
35,421666,,51.1333,,53.9841,,44.2593,,44.6071,,35.6964,,44,,35.9333,,33.5476,,42.1389,,44.1905,,45.381,,43.75,,59.5278,,59.9048,,60.2917,,54.2619,,47.5556,,40.0238,,49.9143,,56.2857,,50.2857,,60.6667,,68.1225,,59.5714,,49,,47.3673,,45.36,,50.3667
36,431666,,52.5333,,53.9524,,46.6667,,45.1429,,35.6964,,44.3571,,34.9667,,33.6429,,41.5833,,46.0476,,45.3333,,44.375,,60.9167,,60.619,,60.0417,,54.2143,,47.9841,,40.9286,,50.8571,,56.6429,,51.7381,,62.9524,,68.6531,,58.4464,,50,,48.102,,44.64,,48
37,441666,,53.8,,53.8095,,44.037,,45.1786,,36.7143,,44.381,,35.9667,,34.5714,,40.7222,,43.9762,,45.9048,,45,,60.3889,,59.4286,,61.9792,,54.1667,,47.254,,41.8333,,48.9714,,54.5238,,51.3571,,61.2619,,68.4898,,59.1964,,49.6905,,46.5918,,44.16,,51.2
38,451665,,54.1,,53.1111,,46.4815,,44.0357,,35.9286,,44.6905,,34.9,,33.7619,,43.3333,,45.0238,,45.7619,,42.75,,60.8056,,61.0476,,60.4375,,52.7381,,47.0159,,39.8333,,49.8286,,55.3095,,49.9524,,62.9762,,67.3878,,59.2321,,48.3333,,47.6327,,43.88,,51.4667
39,461666,,53.1333,,53.9365,,45.0741,,45.1786,,36.5536,,44,,36.3667,,33.9048,,42.0278,,44.6429,,46.9524,,44.1667,,60.8889,,60.7143,,59.6042,,54.7619,,46.8095,,41.2857,,49.0571,,55.2381,,49.6667,,62.2619,,68.0612,,58,,50.1905,,47.3469,,44.76,,48.2333
40,471666,,51.7333,,53.8889,,45,,45.5357,,35.3214,,43.5238,,35.6,,33.3571,,42.6111,,44.881,,45.619,,43.625,,61.9167,,59.8095,,60.25,,55.9286,,47.3651,,40.8333,,49.5714,,54.9762,,48.8095,,62.5,,68.4694,,57.6607,,49.4524,,47.2041,,43.64,,50.8333
41,481664,,52.2333,,53.6508,,46.7778,,46.1786,,36.5536,,43.7619,,35,,33.6429,,42.1667,,45.5238,,46.9048,,45.875,,61.1667,,61.6667,,60.3333,,56.4048,,47.6508,,41.2143,,50.9143,,54.381,,49.6429,,63.4048,,69.2653,,59.5536,,49.3571,,49.4694,,45.32,,50.2667
42,491665,,51.4333,,54.4127,,46.8148,,47.2857,,36.1786,,46.0238,,35.7333,,33.881,,43.4444,,46.1905,,45.5238,,45.4583,,61,,61.6429,,61.125,,56.0476,,47.8095,,41.2857,,51.6286,,54.5238,,51.0238,,63.381,,69.0204,,58.3214,,50.7381,,48.5918,,46.52,,49.8
43,501664,,54,,53.7302,,46.2963,,46.4286,,36.5536,,44.1429,,36.3,,33.9048,,43.4722,,45.0238,,47.381,,45.5417,,61.6944,,61.8333,,60.4167,,55.2143,,47.6984,,40.4286,,50.7143,,56.1905,,49.5,,62,,67.898,,59.5,,49.8333,,46.9592,,44.24,,49.9667
44,511663,,52.7333,,54.0317,,44.5185,,45.75,,35.8036,,46.3095,,34.8333,,34.2143,,42.8889,,45.8333,,45.5714,,44.5833,,62.5556,,61.2857,,59.6875,,55.5714,,48.0635,,41.5476,,51.3143,,55.9762,,50.381,,63.3333,,69.1837,,58.8036,,50.0476,,47.5918,,45.28,,51.6333
45,521663,,52.3333,,53.4603,,46.963,,47.4286,,36.8214,,45.8333,,34.6333,,34.2381,,42.9167,,45.6905,,45.5714,,44.9583,,60.9722,,61.7143,,60.6458,,56.2143,,47.9365,,41.1667,,50.4286,,56.0238,,51.5714,,62.8095,,68.9184,,58.2857,,50.6429,,47.6939,,44.52,,49.1667
46,531663,,52.4667,,54.7619,,46.3704,,45.2143,,36.3214,,44.9762,,37.4,,32.7857,,43.6667,,46.9524,,46.3333,,45,,60.2778,,62.4286,,60.1875,,54.5714,,49.0476,,42.2381,,51.1429,,56.1429,,51,,63.0238,,69.0612,,59.9821,,49.6667,,47.8163,,45.24,,48.8
47,541662,,51.8,,53.6032,,46.963,,45.0357,,36.1071,,45.3095,,35,,33.5,,44.1111,,46.6905,,46.4286,,45.875,,61.6111,,61.6905,,60.7292,,55.3095,,47.1429,,40.9048,,49.9429,,55.619,,50.7143,,63.5714,,68.9388,,58.4107,,48.6429,,47.3061,,44.36,,49.9667
48,551663,,53.9333,,53.2381,,45.8889,,46.8571,,37.1786,,44.5714,,37.3,,33.3571,,42.7222,,46.6667,,45.0952,,43.9583,,61.2222,,62.7381,,61.0417,,54.8333,,50.127,,42.0714,,51.5714,,55.881,,52.1429,,62.7143,,67.4898,,59.9643,,50.0238,,49.0408,,43.88,,49.0333
49,561661,,51.6667,,53.1587,,45.1481,,45.8214,,36.5357,,44.1429,,36.1667,,34.1905,,41.0556,,44.881,,48.0476,,44.4583,,60.6667,,60.4524,,60.1667,,55.0714,,47.5873,,40.8571,,51.6571,,55.5714,,51.6667,,62.881,,68.898,,59.5536,,49.2381,,48.449,,44.08,,49.1
50,571661,,53.3333,,54.5556,,46.5185,,44.3929,,37.1964,,44.9762,,36.8667,,33.7381,,43.8889,,46.2381,,46.8095,,43.5833,,61.75,,61.119,,59.9375,,55.1429,,48.3333,,41.2857,,50.2286,,56.4286,,49.3571,,60.3571,,68.1633,,58.7857,,50.1905,,47.7143,,46.8,,49.6667
51,581660,,52.9333,,52.5397,,45.3333,,46.6071,,35.9286,,44.9524,,35.0667,,33.8095,,41.8333,,45.7857,,46.3333,,44.9583,,61.0556,,61.8333,,60.1875,,54.8095,,47.8571,,41.3333,,51.5714,,54.3571,,51.5714,,62.5476,,66.3673,,58.7679,,49.119,,47.7551,,43.08,,51.8667
52,591660,,53.3,,54.4603,,45.3333,,47.8929,,36.5,,44.9048,,36,,33.4048,,42.3611,,45.1429,,47.5714,,45.5833,,61.3056,,61.5238,,60.7083,,55.0238,,47.3175,,41.9048,,50.9429,,54.5714,,52.0714,,62.0952,,68.4082,,59.7679,,51.119,,47.3265,,45.32,,51.3333
53,601660,,51.1,,55.3492,,46.037,,45.1786,,35.7321,,44.7143,,35.0333,,33.6429,,42.5278,,45.7619,,46.9524,,45.4583,,61.1389,,60.9762,,59.6458,,55.4048,,47.6667,,40.619,,50.2286,,54.1905,,51.4524,,62.4286,,67.6122,,59.875,,50.881,,48.9184,,47.04,,50.5
54,611659,,51.7333,,53.5238,,46,,46.1071,,36.6786,,44.2857,,33.7,,33.3095,,43.1667,,46.9762,,44.8571,,42.4167,,59.7778,,60.0476,,59.9167,,53.9524,,47.1746,,41.7143,,50.3143,,55.2857,,51.7381,,60.7143,,67.2041,,58.6786,,49.6429,,47.2857,,45.96,,51.0667
